Id;Tipologia;Sociedad;NumEmpleadosLog;Tamanyo;Departamento;Municipio;AnyoConstitucion;Seccion;Division;Grupo;Clase;CategoriaRural
233151;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.6434526764861874;MD;bogota;bogota;1972;G;47;474;4741;Urbana
233207;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.060697840353612;MD;bogota;bogota;1972;C;29;293;2930;Urbana
233235;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;0.3010299956639812;MD;bogota;bogota;1972;L;68;681;6810;Urbana
233284;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.361727836017593;GR;bogota;bogota;1972;C;22;222;2221;Urbana
233291;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.1702617153949575;GR;bogota;bogota;1972;C;22;222;2229;Urbana
233382;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;0.9542425094393249;MD;bogota;bogota;1972;A;01;012;0127;Urbana
233417;SOCIEDAD COMERCIAL/INDUSTRIAL;SL;1.5314789170422551;MD;bogota;bogota;1972;L;68;682;6820;Urbana
233487;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.4771212547196626;GR;bogota;bogota;1972;C;25;259;2599;Urbana
233529;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;0.7781512503836436;PQ;bogota;bogota;1972;L;68;681;6810;Urbana
233550;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.9395192526186185;GR;bogota;bogota;1971;C;22;222;2229;Urbana
233606;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.250420002308894;GR;bogota;bogota;1971;G;46;465;4659;Urbana
233627;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.287801729930226;GR;cundinamarca;funza;1961;C;28;281;2813;Intermedia
233655;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;0.6020599913279624;MD;bogota;bogota;1963;L;68;681;6810;Urbana
233690;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.484299839346786;GR;cundinamarca;cota;1971;C;13;131;1312;Intermedia
233697;SOCIEDAD COMERCIAL/INDUSTRIAL;SL;0.0;PQ;bogota;bogota;1972;L;68;681;6810;Urbana
233711;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.8864907251724818;MD;bogota;bogota;1968;C;20;202;2022;Urbana
233872;SOCIEDAD COMERCIAL/INDUSTRIAL;SL;0.9030899869919435;MD;bogota;bogota;1963;M;70;702;7020;Urbana
233907;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.1172712956557644;MD;bogota;bogota;1972;C;22;222;2229;Urbana
233956;SOCIEDAD COMERCIAL/INDUSTRIAL;SCA;0.9542425094393249;MD;bogota;bogota;1972;A;01;014;0141;Urbana
234054;SOCIEDAD COMERCIAL/INDUSTRIAL;SL;2.8382192219076257;GR;bogota;bogota;1959;M;69;692;6920;Urbana
234096;SOCIEDAD COMERCIAL/INDUSTRIAL;SL;1.3979400086720377;MD;bogota;bogota;1973;C;33;331;3312;Urbana
234257;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.4183012913197452;MD;bogota;bogota;1972;N;82;821;8211;Urbana
234341;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;1.9493900066449128;GR;bogota;bogota;1971;G;46;464;4645;Urbana
234411;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;0.0;MD;bogota;bogota;1973;L;68;681;6810;Urbana
234502;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.806179973983887;GR;bogota;bogota;1973;G;47;477;4772;Urbana
234705;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.44870631990508;GR;bogota;bogota;1973;F;42;429;4290;Urbana
234796;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.285557309007774;GR;bogota;bogota;1961;L;68;681;6810;Urbana
234894;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.146128035678238;GR;bogota;bogota;1973;C;25;251;2511;Urbana
234929;SOCIEDAD COMERCIAL/INDUSTRIAL;SL;1.255272505103306;MD;bogota;bogota;1973;G;45;452;4520;Urbana
235034;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.6989700043360187;GR;bogota;bogota;1973;G;46;464;4641;Urbana
235160;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.6434526764861874;MD;bogota;bogota;1973;G;46;466;4664;Urbana
235237;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.2041199826559246;GR;bogota;bogota;1960;M;71;711;7110;Urbana
235251;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;1.4771212547196624;MD;bogota;bogota;1973;H;52;521;5210;Urbana
235377;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;0.47712125471966244;MD;bogota;bogota;1973;N;77;773;7730;Urbana
235468;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.5797835966168101;GR;bogota;bogota;1973;M;71;711;7110;Urbana
235510;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.968482948553935;MD;bogota;bogota;1973;L;68;681;6810;Urbana
235573;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.2405492482826;MD;bogota;bogota;1973;M;71;711;7110;Urbana
235608;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.110589710299249;MD;bogota;bogota;1973;G;46;465;4659;Urbana
235755;SOCIEDAD COMERCIAL/INDUSTRIAL;SL;2.3729120029701067;GR;bogota;bogota;1976;C;21;210;2100;Urbana
235944;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.1335389083702174;MD;bogota;bogota;1976;C;22;221;2219;Urbana
235958;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.012837224705172;MD;bogota;bogota;1976;C;18;181;1811;Urbana
235986;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.462397997898956;MD;bogota;bogota;1976;M;69;691;6910;Urbana
236056;SOCIEDAD COMERCIAL/INDUSTRIAL;SL;0.9542425094393249;PQ;bogota;bogota;1976;F;42;422;4220;Urbana
236077;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;1.7708520116421442;GR;bogota;bogota;1972;C;20;202;2029;Urbana
236091;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.12057393120585;MD;bogota;bogota;1972;C;10;101;1011;Urbana
236189;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;0.0;MD;bogota;bogota;1972;L;68;681;6810;Urbana
236252;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;1.954242509439325;MD;bogota;bogota;1969;C;22;222;2229;Urbana
236266;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;3.0086001717619175;GR;bogota;bogota;1958;C;20;202;2023;Urbana
236294;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.0413926851582251;GR;bogota;bogota;1972;L;68;681;6810;Urbana
236315;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;1.2041199826559248;GR;bogota;bogota;1972;G;45;451;4511;Urbana
236336;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.6232492903979006;MD;bogota;bogota;1971;G;47;473;4732;Urbana
236371;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.392696953259666;MD;bogota;bogota;1972;M;71;711;7110;Urbana
236427;SOCIEDAD COMERCIAL/INDUSTRIAL;SCS;2.617000341120899;GR;bogota;bogota;1974;L;68;681;6810;Urbana
236476;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;0.8450980400142568;MD;bogota;bogota;1974;L;68;681;6810;Urbana
236518;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.2787536009528289;MD;bogota;bogota;1974;G;46;466;4663;Urbana
236609;SOCIEDAD COMERCIAL/INDUSTRIAL;SL;2.525044807036845;GR;bogota;bogota;1974;C;22;222;2229;Urbana
236728;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;0.47712125471966244;GR;bogota;bogota;1973;A;01;015;0150;Urbana
236826;SOCIEDAD COMERCIAL/INDUSTRIAL;SL;1.0791812460476249;MD;bogota;bogota;1974;L;68;681;6810;Urbana
236847;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.2095150145426308;GR;bogota;bogota;1974;F;42;429;4290;Urbana
236861;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.0644579892269186;MD;bogota;bogota;1974;C;28;281;2819;Urbana
236882;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.8976270912904414;MD;cundinamarca;tenjo;1974;C;22;222;2221;Intermedia
236945;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.873320601815399;GR;bogota;bogota;1970;C;21;210;2100;Urbana
236966;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.089905111439398;MD;cundinamarca;cota;1974;C;18;181;1811;Intermedia
237029;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;0.9030899869919435;MD;bogota;bogota;1974;M;71;711;7110;Urbana
237036;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.5797835966168101;MD;bogota;bogota;1974;A;01;014;0141;Urbana
237176;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.3010299956639813;GR;bogota;bogota;1974;F;41;411;4111;Urbana
237218;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.1986570869544226;GR;bogota;bogota;1974;J;58;581;5811;Urbana
237260;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.100370545117563;GR;bogota;bogota;1974;C;22;222;2229;Urbana
237407;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;0.47712125471966244;MD;bogota;bogota;1974;L;68;681;6810;Urbana
237421;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.380211241711606;GR;cundinamarca;cota;1974;J;58;581;5811;Intermedia
237463;SOCIEDAD COMERCIAL/INDUSTRIAL;SL;1.9294189257142926;MD;bogota;bogota;1975;C;22;222;2229;Urbana
237652;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.3654879848909;MD;bogota;bogota;1975;M;71;712;7120;Urbana
237659;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.8129133566428555;PQ;bogota;bogota;1975;G;45;452;4520;Urbana
237715;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.2624510897304293;GR;bogota;bogota;1975;J;60;602;6020;Urbana
237736;SOCIEDAD COMERCIAL/INDUSTRIAL;SL;1.6989700043360187;MD;bogota;bogota;1975;R;93;932;9329;Urbana
237939;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;1.8920946026904804;MD;bogota;bogota;1975;C;20;202;2029;Urbana
237967;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.2430380486862944;GR;bogota;bogota;1975;F;42;429;4290;Urbana
238009;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.060697840353612;GR;bogota;bogota;1975;G;46;465;4659;Urbana
238079;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.143014800254095;MD;bogota;bogota;1975;C;22;221;2219;Urbana
238163;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;2.060697840353612;GR;bogota;bogota;1975;C;16;162;1620;Urbana
238275;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;0.3010299956639812;MD;bogota;bogota;1975;L;68;681;6810;Urbana
238303;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;1.6532125137753437;MD;cundinamarca;funza;1975;C;17;170;1709;Intermedia
238485;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;0.0;MD;bogota;bogota;1975;L;68;681;6810;Urbana
238618;SOCIEDAD COMERCIAL/INDUSTRIAL;SAS;0.9542425094393249;MD;bogota;bogota;1975;G;47;473;4732;Urbana
238688;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;3.1061908972634154;GR;bogota;bogota;1975;S;95;951;9511;Urbana
238737;SOCIEDAD COMERCIAL/INDUSTRIAL;SCA;2.7015679850559273;GR;bogota;bogota;1975;A;01;012;0125;Urbana
238744;SOCIEDAD COMERCIAL/INDUSTRIAL;SL;2.2174839442139063;GR;cundinamarca;cajica;1975;C;10;104;1040;Intermedia
238891;SOCIEDAD COMERCIAL/INDUSTRIAL;SA;2.3820170425748683;GR;cundinamarca;zipaquira;1975;C;19;191;1910;Urbana
