zombi_CAT;ID
-3.0;233151.0
0.0;233207.0
-2.0;233235.0
-3.0;233284.0
-1.0;233291.0
-3.0;233382.0
-3.0;233417.0
-3.0;233487.0
1.0;233529.0
-3.0;233550.0
-3.0;233606.0
-3.0;233627.0
-3.0;233655.0
-2.0;233690.0
-3.0;233697.0
3.0;233711.0
-3.0;233907.0
-3.0;233956.0
-3.0;234054.0
-3.0;234096.0
3.0;234257.0
1.0;234341.0
-3.0;234411.0
1.0;234502.0
-3.0;234705.0
-3.0;234796.0
3.0;234894.0
-3.0;234929.0
3.0;235034.0
0.0;235160.0
-3.0;235237.0
3.0;235251.0
-3.0;235377.0
-3.0;235468.0
-3.0;235510.0
0.0;235573.0
-3.0;235608.0
0.0;235755.0
-2.0;235944.0
-1.0;235958.0
-3.0;235986.0
-3.0;236056.0
-3.0;236077.0
-3.0;236091.0
-3.0;236189.0
-3.0;236252.0
2.0;236266.0
-3.0;236294.0
0.0;236315.0
2.0;236336.0
1.0;236371.0
-1.0;236427.0
-3.0;236476.0
-3.0;236518.0
-2.0;236609.0
-3.0;236728.0
-3.0;236826.0
3.0;236847.0
-3.0;236861.0
-3.0;236882.0
-3.0;236945.0
-3.0;236966.0
-3.0;237029.0
-3.0;237036.0
-3.0;237176.0
-3.0;237218.0
-3.0;237260.0
0.0;237407.0
-3.0;237421.0
-3.0;237463.0
0.0;237652.0
-3.0;237659.0
-3.0;237715.0
-3.0;237736.0
-3.0;237939.0
-3.0;237967.0
2.0;238009.0
-3.0;238079.0
2.0;238163.0
1.0;238275.0
-3.0;238303.0
-3.0;238485.0
-3.0;238618.0
-3.0;238688.0
-3.0;238737.0
-3.0;238744.0
1.0;238891.0
-3.0;238919.0
-3.0;238982.0
-3.0;238989.0
-3.0;238996.0
-3.0;239045.0
-3.0;239073.0
1.0;239115.0
-3.0;239185.0
-3.0;239276.0
-3.0;239290.0
0.0;239346.0
0.0;239360.0
-1.0;239465.0
3.0;239500.0
-3.0;239542.0
-3.0;239577.0
-3.0;239647.0
-1.0;239696.0
-3.0;239759.0
-3.0;239899.0
-3.0;239906.0
-3.0;239976.0
3.0;240025.0
-3.0;240074.0
-1.0;240081.0
-3.0;240165.0
2.0;240179.0
2.0;240186.0
-3.0;240235.0
-3.0;240242.0
-3.0;240256.0
-3.0;240277.0
-3.0;240291.0
-3.0;240312.0
-3.0;240347.0
0.0;240501.0
-2.0;240529.0
