Municipio;Departamento;poblacionTotal;poblacionCabecera;Superficie;CategoriaRural
medellin;antioquia;2427129.0;2382399.0;372.41933368300005;Urbana
abejorral;antioquia;20367.0;7674.0;491.450581092;Rural
abriaqui;antioquia;2695.0;824.0;288.302004888;Rural disperso
alejandria;antioquia;4657.0;2485.0;135.591868241;Rural
amaga;antioquia;30227.0;14184.0;85.21526326520001;Intermedia
amalfi;antioquia;25962.0;14508.0;1190.1311280099999;Rural
andes;antioquia;43269.0;20250.0;436.857148227;Intermedia
angelopolis;antioquia;5756.0;2168.0;86.74061329199999;Intermedia
angostura;antioquia;11437.0;2628.0;411.068034185;Rural disperso
anori;antioquia;18321.0;7634.0;1413.1005837999999;Rural
santafe de antioquia;antioquia;26164.0;16351.0;461.882036579;Intermedia
anza;antioquia;7010.0;1258.0;252.765066009;Rural disperso
apartado;antioquia;121003.0;98454.0;608.434415638;Intermedia
arboletes;antioquia;29295.0;9747.0;749.114531983;Rural
argelia;antioquia;7689.0;3412.0;260.27817489899996;Rural
armenia;antioquia;5139.0;1716.0;112.493137101;Rural
barbosa;antioquia;51969.0;22174.0;226.197241989;Intermedia
belmira;antioquia;6000.0;1623.0;295.558717253;Rural disperso
bello;antioquia;522264.0;495483.0;143.203498668;Urbana
betania;antioquia;10323.0;3601.0;196.04412455599999;Intermedia
betulia;antioquia;15607.0;4274.0;277.158434632;Rural
ciudad bolivar;antioquia;26118.0;15604.0;341.77144673500004;Intermedia
briceno;antioquia;8039.0;2552.0;347.192489199;Rural
buritica;antioquia;9354.0;2235.0;357.902941871;Rural disperso
caceres;antioquia;28996.0;5355.0;1903.22012364;Rural disperso
caicedo;antioquia;8297.0;1657.0;235.46830805000002;Rural disperso
caldas;antioquia;79638.0;62987.0;160.589086868;Intermedia
campamento;antioquia;9203.0;2466.0;220.176775225;Rural disperso
canasgordas;antioquia;15523.0;5076.0;385.477680444;Rural
caracoli;antioquia;4582.0;2739.0;263.622819256;Rural
caramanta;antioquia;4743.0;2190.0;94.0762586833;Intermedia
carepa;antioquia;47932.0;33009.0;352.28446938999997;Intermedia
el carmen de viboral;antioquia;59416.0;34187.0;458.248324454;Intermedia
carolina;antioquia;3954.0;2929.0;159.63690833500002;Rural
caucasia;antioquia;90213.0;76772.0;1372.20821376;Intermedia
chigorodo;antioquia;57375.0;47046.0;699.49724455;Intermedia
cisneros;antioquia;9775.0;8415.0;37.429028546400005;Intermedia
